# ============================================
# Simulación de Sistema de Colisiones Múltiples
# ============================================
# Dimensiones de la caja: 800 x 600
# Paso de tiempo (dt): 0.01 segundos
# Número de partículas iniciales: 4
# Número de obstáculos: 4
# Coeficiente de restitución: 0.7
# ============================================

# TRAYECTORIAS
# Formato: Tiempo(s), Partícula_ID, X, Y
# ============================================
0,0,100.5,100.3
0.01,0,101,100.6
0.02,0,101.5,100.9
0.03,0,102,101.2
0.04,0,102.5,101.5
0.05,0,103,101.8
0.06,0,103.5,102.1
0.07,0,104,102.4
0.08,0,104.5,102.7
0.09,0,105,103
0.1,0,105.5,103.3
0.11,0,106,103.6
0.12,0,106.5,103.9
0.13,0,107,104.2
0.14,0,107.5,104.5
0.15,0,108,104.8
0.16,0,108.5,105.1
0.17,0,109,105.4
0.18,0,109.5,105.7
0.19,0,110,106
0.2,0,110.5,106.3
0.21,0,111,106.6
0.22,0,111.5,106.9
0.23,0,112,107.2
0.24,0,112.5,107.5
0.25,0,113,107.8
0.26,0,113.5,108.1
0.27,0,114,108.4
0.28,0,114.5,108.7
0.29,0,115,109
0.3,0,115.5,109.3
0.31,0,116,109.6
0.32,0,116.5,109.9
0.33,0,117,110.2
0.34,0,117.5,110.5
0.35,0,118,110.8
0.36,0,118.5,111.1
0.37,0,119,111.4
0.38,0,119.5,111.7
0.39,0,120,112
0.4,0,120.5,112.3
0.41,0,121,112.6
0.42,0,121.5,112.9
0.43,0,122,113.2
0.44,0,122.5,113.5
0.45,0,123,113.8
0.46,0,123.5,114.1
0.47,0,124,114.4
0.48,0,124.5,114.7
0.49,0,125,115
0.5,0,125.5,115.3
0.51,0,126,115.6
0.52,0,126.5,115.9
0.53,0,127,116.2
0.54,0,127.5,116.5
0.55,0,128,116.8
0.56,0,128.5,117.1
0.57,0,129,117.4
0.58,0,129.5,117.7
0.59,0,130,118
0.6,0,130.5,118.3
0.61,0,131,118.6
0.62,0,131.5,118.9
0.63,0,132,119.2
0.64,0,132.5,119.5
0.65,0,133,119.8
0.66,0,133.5,120.1
0.67,0,134,120.4
0.68,0,134.5,120.7
0.69,0,135,121
0.7,0,135.5,121.3
0.71,0,136,121.6
0.72,0,136.5,121.9
0.73,0,137,122.2
0.74,0,137.5,122.5
0.75,0,138,122.8
0.76,0,138.5,123.1
0.77,0,139,123.4
0.78,0,139.5,123.7
0.79,0,140,124
0.8,0,140.5,124.3
0.81,0,141,124.6
0.82,0,141.5,124.9
0.83,0,142,125.2
0.84,0,142.5,125.5
0.85,0,143,125.8
0.86,0,143.5,126.1
0.87,0,144,126.4
0.88,0,144.5,126.7
0.89,0,145,127
0.9,0,145.5,127.3
0.91,0,146,127.6
0.92,0,146.5,127.9
0.93,0,147,128.2
0.94,0,147.5,128.5
0.95,0,148,128.8
0.96,0,148.5,129.1
0.97,0,149,129.4
0.98,0,149.5,129.7
0.99,0,150,130
1,0,150.5,130.3
1.01,0,151,130.6
1.02,0,151.5,130.9
1.03,0,152,131.2
1.04,0,152.5,131.5
1.05,0,153,131.8
1.06,0,153.5,132.1
1.07,0,154,132.4
1.08,0,154.5,132.7
1.09,0,155,133
1.1,0,155.5,133.3
1.11,0,156,133.6
1.12,0,156.5,133.9
1.13,0,157,134.2
1.14,0,157.5,134.5
1.15,0,158,134.8
1.16,0,158.5,135.1
1.17,0,159,135.4
1.18,0,159.5,135.7
1.19,0,160,136
1.2,0,160.5,136.3
1.21,0,161,136.6
1.22,0,161.5,136.9
1.23,0,162,137.2
1.24,0,162.5,137.5
1.25,0,163,137.8
1.26,0,163.5,138.1
1.27,0,164,138.4
1.28,0,164.5,138.7
1.29,0,165,139
1.3,0,165.5,139.3
1.31,0,166,139.6
1.32,0,166.5,139.9
1.33,0,167,140.2
1.34,0,167.5,140.5
1.35,0,168,140.8
1.36,0,168.5,141.1
1.37,0,169,141.4
1.38,0,169.5,141.7
1.39,0,170,142
1.4,0,170.5,142.3
1.41,0,171,142.6
1.42,0,171.5,142.9
1.43,0,172,143.2
1.44,0,172.5,143.5
1.45,0,173,143.8
1.46,0,173.5,144.1
1.47,0,174,144.4
1.48,0,174.5,144.7
1.49,0,175,145
1.5,0,175.5,145.3
1.51,0,176,145.6
1.52,0,176.5,145.9
1.53,0,177,146.2
1.54,0,177.5,146.5
1.55,0,178,146.8
1.56,0,178.5,147.1
1.57,0,179,147.4
1.58,0,179.5,147.7
1.59,0,180,148
1.6,0,180.5,148.3
1.61,0,181,148.6
1.62,0,181.5,148.9
1.63,0,182,149.2
1.64,0,182.5,149.5
1.65,0,183,149.8
1.66,0,183.5,150.1
1.67,0,184,150.4
1.68,0,184.5,150.7
1.69,0,185,151
1.7,0,185.5,151.3
1.71,0,186,151.6
1.72,0,186.5,151.9
1.73,0,187,152.2
1.74,0,187.5,152.5
1.75,0,188,152.8
1.76,0,188.5,153.1
1.77,0,189,153.4
1.78,0,189.5,153.7
1.79,0,190,154
1.8,0,190.5,154.3
1.81,0,191,154.09
1.82,0,191.5,154.237
1.83,0,192,154.134
1.84,0,192.5,154.206
1.85,0,193,154.156
1.86,0,193.5,154.191
1.87,0,194,154.166
1.88,0,194.5,154.184
1.89,0,195,154.171
1.9,0,195.5,154.18
1.91,0,196,154.174
1.92,0,195.65,154.168
1.93,0,195.3,154.172
1.94,0,194.95,154.169
1.95,0,194.6,154.171
1.96,0,194.25,154.17
1.97,0,193.9,154.171
1.98,0,193.55,154.17
1.99,0,193.2,154.171
2,0,192.85,154.17
2.01,0,192.5,154.171
2.02,0,192.15,154.17
2.03,0,191.8,154.171
2.04,0,191.45,154.171
2.05,0,191.1,154.171
2.06,0,190.75,154.171
2.07,0,190.4,154.171
2.08,0,190.05,154.171
2.09,0,189.7,154.171
2.1,0,189.35,154.171
2.11,0,189,154.171
2.12,0,188.65,154.171
2.13,0,188.3,154.171
2.14,0,187.95,154.171
2.15,0,187.6,154.171
2.16,0,187.25,154.171
2.17,0,186.9,154.171
2.18,0,186.55,154.171
2.19,0,186.2,154.171
2.2,0,185.85,154.171
2.21,0,185.5,154.171
2.22,0,185.15,154.171
2.23,0,184.8,154.171
2.24,0,184.45,154.171
2.25,0,184.1,154.171
2.26,0,183.75,154.171
2.27,0,183.4,154.171
2.28,0,183.05,154.171
2.29,0,182.7,154.171
2.3,0,182.35,154.171
2.31,0,182,154.171
2.32,0,181.65,154.171
2.33,0,181.3,154.171
2.34,0,180.95,154.171
2.35,0,180.6,154.171
2.36,0,180.25,154.171
2.37,0,179.9,154.171
2.38,0,179.55,154.171
2.39,0,179.2,154.171
2.4,0,178.85,154.171
2.41,0,178.5,154.171
2.42,0,178.15,154.171
2.43,0,177.8,154.171
2.44,0,177.45,154.171
2.45,0,177.1,154.171
2.46,0,176.75,154.171
2.47,0,176.4,154.171
2.48,0,176.05,154.171
2.49,0,175.7,154.171
2.5,0,175.35,154.171
2.51,0,175,154.171
2.52,0,174.65,154.171
2.53,0,174.3,154.171
2.54,0,173.95,154.171
2.55,0,173.6,154.171
2.56,0,173.25,154.171
2.57,0,172.9,154.171
2.58,0,172.55,154.171
2.59,0,172.2,154.171
2.6,0,171.85,154.171
2.61,0,171.5,154.171
2.62,0,171.15,154.171
2.63,0,170.8,154.171
2.64,0,170.45,154.171
2.65,0,170.1,154.171
2.66,0,169.75,154.171
2.67,0,169.4,154.171
2.68,0,169.05,154.171
2.69,0,168.7,154.171
2.7,0,168.35,154.171
2.71,0,168,154.171
2.72,0,167.65,154.171
2.73,0,167.3,154.171
2.74,0,166.95,154.171
2.75,0,166.6,154.171
2.76,0,166.25,154.171
2.77,0,165.9,154.171
2.78,0,165.55,154.171
2.79,0,165.2,154.172
2.8,0,164.85,154.172
2.81,0,164.5,154.172
2.82,0,164.15,154.172
2.83,0,163.8,154.172
2.84,0,163.45,154.172
2.85,0,163.1,154.172
2.86,0,162.75,154.172
2.87,0,162.4,154.172
2.88,0,162.05,154.172
2.89,0,161.7,154.172
2.9,0,161.35,154.172
2.91,0,161,154.172
2.92,0,160.65,154.172
2.93,0,160.3,154.172
2.94,0,159.95,154.172
2.95,0,159.6,154.172
2.96,0,159.25,154.172
2.97,0,158.9,154.172
2.98,0,158.55,154.172
2.99,0,158.2,154.172
3,0,157.85,154.172
3.01,0,157.5,154.172
3.02,0,157.15,154.172
3.03,0,156.8,154.172
3.04,0,156.45,154.172
3.05,0,156.1,154.172
3.06,0,155.75,154.172
3.07,0,155.4,154.172
3.08,0,155.05,154.172
3.09,0,154.7,154.172
3.1,0,154.35,154.172
3.11,0,154,154.172
3.12,0,153.65,154.172
3.13,0,153.3,154.172
3.14,0,152.95,154.172
3.15,0,152.6,154.172
3.16,0,152.25,154.172
3.17,0,151.9,154.172
3.18,0,151.55,154.172
3.19,0,151.2,154.172
3.2,0,150.85,154.172
3.21,0,150.5,154.172
3.22,0,150.15,154.172
3.23,0,149.8,154.172
3.24,0,149.45,154.172
3.25,0,149.1,154.172
3.26,0,148.75,154.172
3.27,0,148.4,154.172
3.28,0,148.05,154.172
3.29,0,147.7,154.172
3.3,0,147.35,154.172
3.31,0,147,154.172
3.32,0,146.65,154.172
3.33,0,146.3,154.172
3.34,0,145.95,154.172
3.35,0,145.6,154.172
3.36,0,145.25,154.172
3.37,0,144.9,154.172
3.38,0,144.55,154.172
3.39,0,144.2,154.172
3.4,0,143.85,154.172
3.41,0,143.5,154.172
3.42,0,143.15,154.172
3.43,0,142.8,154.172
3.44,0,142.45,154.172
3.45,0,142.1,154.172
3.46,0,141.75,154.172
3.47,0,141.4,154.172
3.48,0,141.05,154.172
3.49,0,140.7,154.172
3.5,0,140.35,154.172
3.51,0,140,154.173
